Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Plant_part	Organ_material	Year	Season	Species	location
S29	SRR29528522	PRJNA1127768	Vladivostok, st. Borodinskaya 17	Vladivostok 	43,165452	131,920079	Pc-1	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S30	SRR29528521	PRJNA1127768	Vladivostok, st. Borodinskaya 17	Vladivostok 	43,165452	131,920079	Pc-1	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S31	SRR29528520	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Leaf	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S32	SRR29528519	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Leaf	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S33	SRR29528493	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Stem	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S34	SRR29528492	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Stem	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S35	SRR29528491	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S36	SRR29528490	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S37	SRR29528489	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Flower	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S38	SRR29528488	PRJNA1127768	Vladivostok, st. Russian 58В	Vladivostok 	43,167563	131,919288	Pc-2	Shoot_system	Flower	2023	Autumn	Polygonum cuspidatum	Primorsky_Krai
S39	SRR29528487	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,854018	142,571455	Pc1-Sakh	Shoot_system	Leaf	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S40	SRR29528438	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,854018	142,571455	Pc1-Sakh	Shoot_system	Leaf	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S41	SRR29528437	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,854018	142,571455	Pc1-Sakh	Shoot_system	Stem	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S42	SRR29528436	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,854018	142,571455	Pc1-Sakh	Shoot_system	Stem	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S43	SRR29528548	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,854018	142,571455	Pc1-Sakh	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S44	SRR29528547	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,854018	142,571455	Pc1-Sakh	Root_system	Root	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S45	SRR29528546	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,771735	142,520658	Pc2-Sakh	Shoot_system	Leaf	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S46	SRR29528545	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,771735	142,520658	Pc2-Sakh	Shoot_system	Leaf	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
S47	SRR29528544	PRJNA1127768	Aniva urban district, Sakhalin region	Aniva urban district	46,771735	142,520658	Pc2-Sakh	Shoot_system	Stem	2023	Autumn	Polygonum cuspidatum	Sakhalin_Oblast
